CUSTOMER,BANKACCOUNT,BANKACCOUNTHOLDERNAME,BANKCOUNTRY,BANK,SWIFTCODE,BANKNAME,BANKNUMBER,IBAN,IBANVALIDITYSTARTDATE,CREATIONDATE
"C0026","323424","","AE","ABDIAE","ABDIAEAD","ABU Dhabi International Bank INC","","","00000000","00000000"
"C0009","656768","","SG","AAMBSG","AAMBSGS1XXX","ASIAN-AMERICAN MERCHANT BANK LTD.","AAMBSG","","00000000","00000000"
"C0011","53324","Fei Ling","JP","1234567","AICHJPJ1OJS","AICHI BANK, LTD.","1234567","","00000000","00000000"
"0000200001","12345678","","IN","0001","","HDFC BANK","","","00000000","00000000"
"0000000007","912321342","","DE","10000201","","DB BANK BREMEN","10000201","","00000000","00000000"
"0000000008","912321342","","DE","10000201","","DB BANK BREMEN","10000201","","00000000","00000000"
"0000000011","111111","","DE","10000201","","DB BANK BREMEN","10000201","DE50100002010000111111","20150715","20150715"
"0000000017","111111","","DE","10000201","","DB BANK BREMEN","10000201","DE50100002010000111111","20150715","20150715"
"0000000018","111111","","DE","10000201","","DB BANK BREMEN","10000201","DE50100002010000111111","20150715","20150715"
"0000000019","111111","","DE","10000201","","DB BANK BREMEN","10000201","DE50100002010000111111","20150715","20150715"
"0000000020","111111","","DE","10000201","","DB BANK BREMEN","10000201","DE50100002010000111111","20150715","20150715"
"0000000021","111111","","DE","10000201","","DB BANK BREMEN","10000201","DE50100002010000111111","20150715","20150715"
"0000000022","111111","","DE","10000201","","DB BANK BREMEN","10000201","DE50100002010000111111","20150715","20150715"
"0000000023","111111","","DE","10000201","","DB BANK BREMEN","10000201","DE50100002010000111111","20150715","20150715"
"0000000036","111111","","DE","10000201","","DB BANK BREMEN","10000201","DE50100002010000111111","20150715","20150715"
"0000000037","111111","","DE","10000201","","DB BANK BREMEN","10000201","DE50100002010000111111","20150715","20150715"
"0000000038","111111","","DE","10000201","","DB BANK BREMEN","10000201","DE50100002010000111111","20150715","20150715"
"0000000039","111111","","DE","10000201","","DB BANK BREMEN","10000201","DE50100002010000111111","20150715","20150715"
"0000000040","111111","","DE","10000201","","DB BANK BREMEN","10000201","DE50100002010000111111","20150715","20150715"
"0000000041","111111","","DE","10000201","","DB BANK BREMEN","10000201","DE50100002010000111111","20150715","20150715"
"0000000042","111111","","DE","10000201","","DB BANK BREMEN","10000201","DE50100002010000111111","20150715","20150715"
"0000000043","111111","","DE","10000201","","DB BANK BREMEN","10000201","DE50100002010000111111","20150715","20150715"
